country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
Portugal,PT,PRT,10276617,2020-09-07,381,49,Country_Website
Romania,RO,ROU,19414458,2020-09-07,,465,Country_Website
Slovakia,SK,SVK,5450421,2020-09-07,99,,JRC
Slovenia,SI,SVN,2080908,2020-09-07,26,4,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-07,874,,Country_Website
Austria,AT,AUT,8858775,2020-09-06,143,28,Country_Website
Belgium,BE,BEL,11455519,2020-09-06,223,53,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-06,755,57,External_Github
Croatia,HR,HRV,4076246,2020-09-06,296,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-06,214,54,Country_Website
Denmark,DK,DNK,5806081,2020-09-06,27,4,Country_Website
Estonia,EE,EST,1324820,2020-09-06,7,0,Country_API
France,FR,FRA,67012883,2020-09-06,4697,480,Country_Website
Hungary,HU,HUN,9772756,2020-09-06,151,11,JRC
Iceland,IS,ISL,356991,2020-09-06,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-09-06,49,6,Country_Website
Italy,IT,ITA,60359546,2020-09-06,1816,133,Country_Github
Latvia,LV,LVA,1919968,2020-09-06,7,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-06,15,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-06,,45,Other Website
Poland,PL,POL,37972812,2020-09-06,2091,,Country_Website
Portugal,PT,PRT,10276617,2020-09-06,354,43,Country_Website
Romania,RO,ROU,19414458,2020-09-06,,474,Country_Website
Slovakia,SK,SVK,5450421,2020-09-06,99,,JRC
Slovenia,SI,SVN,2080908,2020-09-06,23,3,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-06,789,,Country_Website
Austria,AT,AUT,8858775,2020-09-05,157,28,Country_Website
Belgium,BE,BEL,11455519,2020-09-05,215,53,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-05,763,56,External_Github
Croatia,HR,HRV,4076246,2020-09-05,285,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-05,204,52,Country_Website
Denmark,DK,DNK,5806081,2020-09-05,16,3,Country_Website
Estonia,EE,EST,1324820,2020-09-05,7,0,Country_API
France,FR,FRA,67012883,2020-09-05,4667,476,Country_Website
Hungary,HU,HUN,9772756,2020-09-05,139,9,JRC
Iceland,IS,ISL,356991,2020-09-05,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-09-05,48,7,Country_Website
Italy,IT,ITA,60359546,2020-09-05,1741,121,Country_Github
Latvia,LV,LVA,1919968,2020-09-05,7,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-05,10,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-05,,41,Other Website
Poland,PL,POL,37972812,2020-09-05,2090,,Country_Website
Portugal,PT,PRT,10276617,2020-09-05,345,41,Country_Website
Romania,RO,ROU,19414458,2020-09-05,,476,Country_Website
Slovakia,SK,SVK,5450421,2020-09-05,95,,JRC
Slovenia,SI,SVN,2080908,2020-09-05,22,3,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-05,783,,Country_Website
Austria,AT,AUT,8858775,2020-09-04,156,28,Country_Website
Belgium,BE,BEL,11455519,2020-09-04,215,52,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-04,764,61,External_Github
Croatia,HR,HRV,4076246,2020-09-04,283,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-04,197,50,Country_Website
Denmark,DK,DNK,5806081,2020-09-04,18,3,Country_Website
Estonia,EE,EST,1324820,2020-09-04,7,0,Country_API
Finland,FI,FIN,5517919,2020-09-04,14,1,External_Github
France,FR,FRA,67012883,2020-09-04,4653,467,Country_Website
Hungary,HU,HUN,9772756,2020-09-04,120,8,JRC
Iceland,IS,ISL,356991,2020-09-04,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-09-04,44,7,Country_Website
Italy,IT,ITA,60359546,2020-09-04,1728,121,Country_Github
Latvia,LV,LVA,1919968,2020-09-04,6,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-04,10,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-04,,45,Other Website
Norway,NO,NOR,5328212,2020-09-04,16,,Country_API
Poland,PL,POL,37972812,2020-09-04,2179,,Country_Website
Portugal,PT,PRT,10276617,2020-09-04,339,40,Country_Website
Romania,RO,ROU,19414458,2020-09-04,,485,Country_Website
Slovakia,SK,SVK,5450421,2020-09-04,92,,JRC
Slovenia,SI,SVN,2080908,2020-09-04,24,3,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-04,788,,Country_Website
Austria,AT,AUT,8858775,2020-09-03,161,29,Country_Website
Belgium,BE,BEL,11455519,2020-09-03,209,58,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-03,758,63,External_Github
Croatia,HR,HRV,4076246,2020-09-03,269,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-03,190,44,Country_Website
Denmark,DK,DNK,5806081,2020-09-03,17,3,Country_Website
Estonia,EE,EST,1324820,2020-09-03,9,0,Country_API
France,FR,FRA,67012883,2020-09-03,4625,458,Country_Website
Hungary,HU,HUN,9772756,2020-09-03,100,7,JRC
Iceland,IS,ISL,356991,2020-09-03,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-09-03,40,7,Country_Website
Italy,IT,ITA,60359546,2020-09-03,1625,120,Country_Github
Latvia,LV,LVA,1919968,2020-09-03,7,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-03,11,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-03,,41,Other Website
Norway,NO,NOR,5328212,2020-09-03,13,,Country_API
Poland,PL,POL,37972812,2020-09-03,2170,,Country_Website
Portugal,PT,PRT,10276617,2020-09-03,334,44,Country_Website
Romania,RO,ROU,19414458,2020-09-03,,503,Country_Website
Slovakia,SK,SVK,5450421,2020-09-03,105,,JRC
Slovenia,SI,SVN,2080908,2020-09-03,26,4,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-03,781,,Country_Website
Austria,AT,AUT,8858775,2020-09-02,157,30,Country_Website
Belgium,BE,BEL,11455519,2020-09-02,221,60,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-02,737,62,External_Github
Croatia,HR,HRV,4076246,2020-09-02,258,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-02,177,40,Country_Website
Denmark,DK,DNK,5806081,2020-09-02,15,4,Country_Website
Estonia,EE,EST,1324820,2020-09-02,10,0,Country_API
Finland,FI,FIN,5517919,2020-09-02,9,2,External_Github
France,FR,FRA,67012883,2020-09-02,4614,440,Country_Website
Hungary,HU,HUN,9772756,2020-09-02,98,7,JRC
Iceland,IS,ISL,356991,2020-09-02,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-09-02,40,6,Country_Website
Italy,IT,ITA,60359546,2020-09-02,1546,109,Country_Github
Latvia,LV,LVA,1919968,2020-09-02,5,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-02,16,2,Country_Website
Netherlands,NL,NLD,17282163,2020-09-02,,39,Other Website
Norway,NO,NOR,5328212,2020-09-02,11,,Country_API
Poland,PL,POL,37972812,2020-09-02,2168,,Country_Website
Portugal,PT,PRT,10276617,2020-09-02,337,41,Country_Website
Romania,RO,ROU,19414458,2020-09-02,,519,Country_Website
Slovakia,SK,SVK,5450421,2020-09-02,99,,JRC
Slovenia,SI,SVN,2080908,2020-09-02,26,4,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-02,768,,Country_Website
Austria,AT,AUT,8858775,2020-09-01,149,30,Country_Website
Belgium,BE,BEL,11455519,2020-09-01,226,68,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-01,727,65,External_Github
Croatia,HR,HRV,4076246,2020-09-01,258,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-01,172,40,Country_Website
Denmark,DK,DNK,5806081,2020-09-01,20,4,Country_Website
Estonia,EE,EST,1324820,2020-09-01,8,0,Country_API
France,FR,FRA,67012883,2020-09-01,4586,418,Country_Website
Hungary,HU,HUN,9772756,2020-09-01,96,7,JRC
Iceland,IS,ISL,356991,2020-09-01,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-09-01,36,6,Country_Website
Italy,IT,ITA,60359546,2020-09-01,1487,107,Country_Github
Latvia,LV,LVA,1919968,2020-09-01,5,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-01,16,1,Country_Website
Netherlands,NL,NLD,17282163,2020-09-01,,41,Other Website
Norway,NO,NOR,5328212,2020-09-01,11,,Country_API
Poland,PL,POL,37972812,2020-09-01,2138,,Country_Website
Portugal,PT,PRT,10276617,2020-09-01,350,44,Country_Website
Romania,RO,ROU,19414458,2020-09-01,,522,Country_Website
Slovakia,SK,SVK,5450421,2020-09-01,77,,JRC
Slovenia,SI,SVN,2080908,2020-09-01,25,3,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-01,828,,Country_Website
Austria,AT,AUT,8858775,2020-08-31,154,31,Country_Website
Belgium,BE,BEL,11455519,2020-08-31,243,74,Country_Website
Bulgaria,BG,BGR,7000039,2020-08-31,726,63,External_Github
Croatia,HR,HRV,4076246,2020-08-31,251,,Country_Website
Czechia,CZ,CZE,10649800,2020-08-31,172,35,Country_Website
Denmark,DK,DNK,5806081,2020-08-31,23,4,Country_Website
Estonia,EE,EST,1324820,2020-08-31,9,0,Country_API
Finland,FI,FIN,5517919,2020-08-31,10,1,External_Github
France,FR,FRA,67012883,2020-08-31,4564,403,Country_Website
Hungary,HU,HUN,9772756,2020-08-31,103,7,JRC
Iceland,IS,ISL,356991,2020-08-31,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-08-31,35,6,Country_Website
Italy,IT,ITA,60359546,2020-08-31,1382,94,Country_Github
Latvia,LV,LVA,1919968,2020-08-31,5,,Country_Website
Luxembourg,LU,LUX,613894,2020-08-31,28,2,Country_Website
Netherlands,NL,NLD,17282163,2020-08-31,,45,Other Website
Norway,NO,NOR,5328212,2020-08-31,12,,Country_API
Poland,PL,POL,37972812,2020-08-31,2249,,Country_Website
Portugal,PT,PRT,10276617,2020-08-31,349,41,Country_Website
Romania,RO,ROU,19414458,2020-08-31,,506,Country_Website
Slovakia,SK,SVK,5450421,2020-08-31,77,,JRC
Slovenia,SI,SVN,2080908,2020-08-31,25,3,Country_Github
United Kingdom,UK,GBR,66647112,2020-08-31,821,,Country_Website
Austria,AT,AUT,8858775,2020-08-30,140,30,Country_Website
Belgium,BE,BEL,11455519,2020-08-30,233,71,Country_Website
Bulgaria,BG,BGR,7000039,2020-08-30,723,61,External_Github
Croatia,HR,HRV,4076246,2020-08-30,229,,Country_Website
Czechia,CZ,CZE,10649800,2020-08-30,153,35,Country_Website
Denmark,DK,DNK,5806081,2020-08-30,21,4,Country_Website
Estonia,EE,EST,1324820,2020-08-30,9,0,Country_API
France,FR,FRA,67012883,2020-08-30,4517,396,Country_Website
Hungary,HU,HUN,9772756,2020-08-30,90,7,JRC
Iceland,IS,ISL,356991,2020-08-30,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-08-30,33,5,Country_Website
Italy,IT,ITA,60359546,2020-08-30,1337,86,Country_Github
Latvia,LV,LVA,1919968,2020-08-30,4,,Country_Website
Luxembourg,LU,LUX,613894,2020-08-30,27,2,Country_Website
Netherlands,NL,NLD,17282163,2020-08-30,,46,Other Website
Poland,PL,POL,37972812,2020-08-30,2242,,Country_Website
Portugal,PT,PRT,10276617,2020-08-30,341,41,Country_Website
Romania,RO,ROU,19414458,2020-08-30,,492,Country_Website
Slovakia,SK,SVK,5450421,2020-08-30,76,,JRC
Slovenia,SI,SVN,2080908,2020-08-30,24,3,Country_Github
United Kingdom,UK,GBR,66647112,2020-08-30,798,,Country_Website
Austria,AT,AUT,8858775,2020-08-29,144,30,Country_Website
Belgium,BE,BEL,11455519,2020-08-29,230,72,Country_Website
Bulgaria,BG,BGR,7000039,2020-08-29,712,59,External_Github
Croatia,HR,HRV,4076246,2020-08-29,211,,Country_Website
Czechia,CZ,CZE,10649800,2020-08-29,156,37,Country_Website
Denmark,DK,DNK,5806081,2020-08-29,21,4,Country_Website
Estonia,EE,EST,1324820,2020-08-29,9,0,Country_API
France,FR,FRA,67012883,2020-08-29,4512,394,Country_Website
Hungary,HU,HUN,9772756,2020-08-29,90,7,JRC
Iceland,IS,ISL,356991,2020-08-29,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-08-29,30,5,Country_Website
Italy,IT,ITA,60359546,2020-08-29,1247,79,Country_Github
Latvia,LV,LVA,1919968,2020-08-29,4,,Country_Website
Luxembourg,LU,LUX,613894,2020-08-29,23,3,Country_Website
Netherlands,NL,NLD,17282163,2020-08-29,,41,Other Website
Poland,PL,POL,37972812,2020-08-29,2237,,Country_Website
Portugal,PT,PRT,10276617,2020-08-29,324,40,Country_Website
Romania,RO,ROU,19414458,2020-08-29,,490,Country_Website
Slovakia,SK,SVK,5450421,2020-08-29,76,,JRC
Slovenia,SI,SVN,2080908,2020-08-29,23,2,Country_Github
United Kingdom,UK,GBR,66647112,2020-08-29,796,,Country_Website
Austria,AT,AUT,8858775,2020-08-28,146,27,Country_Website
Belgium,BE,BEL,11455519,2020-08-28,252,77,Country_Website
Bulgaria,BG,BGR,7000039,2020-08-28,726,65,External_Github
Croatia,HR,HRV,4076246,2020-08-28,212,,Country_Website
Czechia,CZ,CZE,10649800,2020-08-28,158,37,Country_Website
Denmark,DK,DNK,5806081,2020-08-28,21,2,Country_Website
Estonia,EE,EST,1324820,2020-08-28,9,0,Country_API
Finland,FI,FIN,5517919,2020-08-28,11,1,External_Github
France,FR,FRA,67012883,2020-08-28,4517,381,Country_Website
Iceland,IS,ISL,356991,2020-08-28,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-08-28,32,5,Country_Website
Italy,IT,ITA,60359546,2020-08-28,1252,74,Country_Github
Latvia,LV,LVA,1919968,2020-08-28,4,,Country_Website
Luxembourg,LU,LUX,613894,2020-08-28,25,4,Country_Website
Netherlands,NL,NLD,17282163,2020-08-28,,41,Other Website
Norway,NO,NOR,5328212,2020-08-28,16,,Country_API
Poland,PL,POL,37972812,2020-08-28,2221,,Country_Website
Portugal,PT,PRT,10276617,2020-08-28,334,38,Country_Website
Romania,RO,ROU,19414458,2020-08-28,,497,Country_Website
Slovenia,SI,SVN,2080908,2020-08-28,22,1,Country_Github
United Kingdom,UK,GBR,66647112,2020-08-28,769,,Country_Website
Austria,AT,AUT,8858775,2020-08-27,145,24,Country_Website
Belgium,BE,BEL,11455519,2020-08-27,257,82,Country_Website
Bulgaria,BG,BGR,7000039,2020-08-27,741,60,External_Github
Croatia,HR,HRV,4076246,2020-08-27,194,,Country_Website
Czechia,CZ,CZE,10649800,2020-08-27,147,34,Country_Website
Denmark,DK,DNK,5806081,2020-08-27,19,2,Country_Website
Estonia,EE,EST,1324820,2020-08-27,12,0,Country_API
France,FR,FRA,67012883,2020-08-27,4517,375,Country_Website
Hungary,HU,HUN,9772756,2020-08-27,78,7,JRC
Iceland,IS,ISL,356991,2020-08-27,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-08-27,29,5,Country_Website
Italy,IT,ITA,60359546,2020-08-27,1198,67,Country_Github
Latvia,LV,LVA,1919968,2020-08-27,5,,Country_Website
Luxembourg,LU,LUX,613894,2020-08-27,30,2,Country_Website
Netherlands,NL,NLD,17282163,2020-08-27,,43,Other Website
Norway,NO,NOR,5328212,2020-08-27,17,,Country_API
Poland,PL,POL,37972812,2020-08-27,2185,,Country_Website
Portugal,PT,PRT,10276617,2020-08-27,317,35,Country_Website
Romania,RO,ROU,19414458,2020-08-27,,492,Country_Website
Slovakia,SK,SVK,5450421,2020-08-27,72,,JRC
Slovenia,SI,SVN,2080908,2020-08-27,23,1,Country_Github
United Kingdom,UK,GBR,66647112,2020-08-27,787,,Country_Website
Austria,AT,AUT,8858775,2020-08-26,141,23,Country_Website
Belgium,BE,BEL,11455519,2020-08-26,260,81,Country_Website
Bulgaria,BG,BGR,7000039,2020-08-26,715,64,External_Github
Croatia,HR,HRV,4076246,2020-08-26,174,,Country_Website
Czechia,CZ,CZE,10649800,2020-08-26,134,34,Country_Website
Denmark,DK,DNK,5806081,2020-08-26,19,3,Country_Website
Estonia,EE,EST,1324820,2020-08-26,10,0,Country_API
Finland,FI,FIN,5517919,2020-08-26,5,1,External_Github
France,FR,FRA,67012883,2020-08-26,4535,373,Country_Website
Hungary,HU,HUN,9772756,2020-08-26,64,7,JRC
Iceland,IS,ISL,356991,2020-08-26,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-08-26,26,4,Country_Website
Italy,IT,ITA,60359546,2020-08-26,1124,69,Country_Github
Latvia,LV,LVA,1919968,2020-08-26,3,,Country_Website
Luxembourg,LU,LUX,613894,2020-08-26,27,2,Country_Website
Netherlands,NL,NLD,17282163,2020-08-26,,43,Other Website
Norway,NO,NOR,5328212,2020-08-26,17,,Country_API
Poland,PL,POL,37972812,2020-08-26,2170,,Country_Website
Portugal,PT,PRT,10276617,2020-08-26,311,38,Country_Website
Romania,RO,ROU,19414458,2020-08-26,,502,Country_Website
Slovakia,SK,SVK,5450421,2020-08-26,70,,JRC
Slovenia,SI,SVN,2080908,2020-08-26,20,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-08-26,776,,Country_Website
Austria,AT,AUT,8858775,2020-08-25,137,23,Country_Website
Belgium,BE,BEL,11455519,2020-08-25,282,85,Country_Website
Bulgaria,BG,BGR,7000039,2020-08-25,714,65,External_Github
Croatia,HR,HRV,4076246,2020-08-25,167,,Country_Website
Czechia,CZ,CZE,10649800,2020-08-25,131,32,Country_Website
Denmark,DK,DNK,5806081,2020-08-25,21,3,Country_Website
Estonia,EE,EST,1324820,2020-08-25,10,0,Country_API
France,FR,FRA,67012883,2020-08-25,4578,401,Country_Website
Hungary,HU,HUN,9772756,2020-08-25,57,7,JRC
Iceland,IS,ISL,356991,2020-08-25,1,0,Country_Website
Ireland,IE,IRL,4904240,2020-08-25,26,4,Country_Website
Italy,IT,ITA,60359546,2020-08-25,1124,66,Country_Github
Latvia,LV,LVA,1919968,2020-08-25,4,,Country_Website
Luxembourg,LU,LUX,613894,2020-08-25,33,2,Country_Website
Netherlands,NL,NLD,17282163,2020-08-25,,45,Other Website
Norway,NO,NOR,5328212,2020-08-25,18,,Country_API
Poland,PL,POL,37972812,2020-08-25,2167,,Country_Website
Portugal,PT,PRT,10276617,2020-08-25,325,41,Country_Website
Romania,RO,ROU,19414458,2020-08-25,,490,Country_Website
Slovakia,SK,SVK,5450421,2020-08-25,65,,JRC
Slovenia,SI,SVN,2080908,2020-08-25,17,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-08-25,793,,Country_Website
Austria,AT,AUT,8858775,2020-08-24,135,23,Country_Website
Belgium,BE,BEL,11455519,2020-08-24,320,89,Country_Website
Bulgaria,BG,BGR,7000039,2020-08-24,745,74,External_Github
Croatia,HR,HRV,4076246,2020-08-24,163,,Country_Website
Czechia,CZ,CZE,10649800,2020-08-24,125,31,Country_Website
Denmark,DK,DNK,5806081,2020-08-24,20,3,Country_Website
Estonia,EE,EST,1324820,2020-08-24,11,0,Country_API
Finland,FI,FIN,5517919,2020-08-24,12,1,External_Github
France,FR,FRA,67012883,2020-08-24,4664,387,Country_Website
Hungary,HU,HUN,9772756,2020-08-24,59,9,JRC
Iceland,IS,ISL,356991,2020-08-24,1,0,Country_Website
Ireland,IE,IRL,4904240,2020-08-24,27,5,Country_Website
Italy,IT,ITA,60359546,2020-08-24,1110,65,Country_Github
Latvia,LV,LVA,1919968,2020-08-24,5,,Country_Website
Luxembourg,LU,LUX,613894,2020-08-24,32,1,Country_Website
Netherlands,NL,NLD,17282163,2020-08-24,,50,Other Website
Norway,NO,NOR,5328212,2020-08-24,17,,Country_API
Poland,PL,POL,37972812,2020-08-24,2207,,Country_Website
Portugal,PT,PRT,10276617,2020-08-24,321,44,Country_Website
Romania,RO,ROU,19414458,2020-08-24,,494,Country_Website
Slovenia,SI,SVN,2080908,2020-08-24,17,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-08-24,818,,Country_Website
Austria,AT,AUT,8858775,2020-08-23,116,23,Country_Website
Belgium,BE,BEL,11455519,2020-08-23,312,87,Country_Website
Bulgaria,BG,BGR,7000039,2020-08-23,743,74,External_Github
Croatia,HR,HRV,4076246,2020-08-23,155,,Country_Website
Czechia,CZ,CZE,10649800,2020-08-23,123,24,Country_Website
Denmark,DK,DNK,5806081,2020-08-23,19,2,Country_Website
Estonia,EE,EST,1324820,2020-08-23,12,0,Country_API
France,FR,FRA,67012883,2020-08-23,4683,371,Country_Website
Hungary,HU,HUN,9772756,2020-08-23,59,7,JRC
Iceland,IS,ISL,356991,2020-08-23,1,0,Country_Website
Ireland,IE,IRL,4904240,2020-08-23,21,6,Country_Website
Italy,IT,ITA,60359546,2020-08-23,1040,69,Country_Github
Latvia,LV,LVA,1919968,2020-08-23,4,,Country_Website
Luxembourg,LU,LUX,613894,2020-08-23,31,1,Country_Website
Netherlands,NL,NLD,17282163,2020-08-23,,50,Other Website
Poland,PL,POL,37972812,2020-08-23,2195,,Country_Website
Portugal,PT,PRT,10276617,2020-08-23,317,47,Country_Website
Romania,RO,ROU,19414458,2020-08-23,,480,Country_Website
Slovakia,SK,SVK,5450421,2020-08-23,61,,JRC
Slovenia,SI,SVN,2080908,2020-08-23,17,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-08-23,812,,Country_Website
Austria,AT,AUT,8858775,2020-08-22,116,22,Country_Website
Belgium,BE,BEL,11455519,2020-08-22,310,85,Country_Website
Bulgaria,BG,BGR,7000039,2020-08-22,734,73,External_Github
Croatia,HR,HRV,4076246,2020-08-22,143,,Country_Website
Czechia,CZ,CZE,10649800,2020-08-22,119,26,Country_Website
Denmark,DK,DNK,5806081,2020-08-22,22,1,Country_Website
Estonia,EE,EST,1324820,2020-08-22,9,0,Country_API
France,FR,FRA,67012883,2020-08-22,4685,368,Country_Website
Hungary,HU,HUN,9772756,2020-08-22,60,7,JRC
Iceland,IS,ISL,356991,2020-08-22,1,0,Country_Website
Ireland,IE,IRL,4904240,2020-08-22,20,6,Country_Website
Italy,IT,ITA,60359546,2020-08-22,988,64,Country_Github
Latvia,LV,LVA,1919968,2020-08-22,3,,Country_Website
Luxembourg,LU,LUX,613894,2020-08-22,32,1,Country_Website
Netherlands,NL,NLD,17282163,2020-08-22,,47,Other Website
Poland,PL,POL,37972812,2020-08-22,2189,,Country_Website
Portugal,PT,PRT,10276617,2020-08-22,316,42,Country_Website
Romania,RO,ROU,19414458,2020-08-22,,504,Country_Website
Slovenia,SI,SVN,2080908,2020-08-22,18,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-08-22,885,,Country_Website
Austria,AT,AUT,8858775,2020-08-21,112,22,Country_Website
Belgium,BE,BEL,11455519,2020-08-21,314,84,Country_Website
Bulgaria,BG,BGR,7000039,2020-08-21,766,63,External_Github
Croatia,HR,HRV,4076246,2020-08-21,135,,Country_Website
Czechia,CZ,CZE,10649800,2020-08-21,119,23,Country_Website
Denmark,DK,DNK,5806081,2020-08-21,22,1,Country_Website
Estonia,EE,EST,1324820,2020-08-21,11,0,Country_API
Finland,FI,FIN,5517919,2020-08-21,11,0,External_Github
France,FR,FRA,67012883,2020-08-21,4720,367,Country_Website
Hungary,HU,HUN,9772756,2020-08-21,58,6,JRC
Iceland,IS,ISL,356991,2020-08-21,1,0,Country_Website
Ireland,IE,IRL,4904240,2020-08-21,18,6,Country_Website
Italy,IT,ITA,60359546,2020-08-21,988,69,Country_Github
Latvia,LV,LVA,1919968,2020-08-21,3,,Country_Website
Luxembourg,LU,LUX,613894,2020-08-21,27,1,Country_Website
Netherlands,NL,NLD,17282163,2020-08-21,,51,Other Website
Norway,NO,NOR,5328212,2020-08-21,13,,Country_API
Poland,PL,POL,37972812,2020-08-21,2151,,Country_Website
Portugal,PT,PRT,10276617,2020-08-21,321,41,Country_Website
Romania,RO,ROU,19414458,2020-08-21,,497,Country_Website
Slovakia,SK,SVK,5450421,2020-08-21,60,,JRC
Slovenia,SI,SVN,2080908,2020-08-21,18,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-08-21,832,,Country_Website
Austria,AT,AUT,8858775,2020-08-20,116,21,Country_Website
Belgium,BE,BEL,11455519,2020-08-20,303,82,Country_Website
Bulgaria,BG,BGR,7000039,2020-08-20,752,60,External_Github
Croatia,HR,HRV,4076246,2020-08-20,127,,Country_Website
Czechia,CZ,CZE,10649800,2020-08-20,117,24,Country_Website
Denmark,DK,DNK,5806081,2020-08-20,20,1,Country_Website
Estonia,EE,EST,1324820,2020-08-20,10,0,Country_API
France,FR,FRA,67012883,2020-08-20,4723,368,Country_Website
Hungary,HU,HUN,9772756,2020-08-20,57,7,JRC
Iceland,IS,ISL,356991,2020-08-20,1,0,Country_Website
Ireland,IE,IRL,4904240,2020-08-20,16,6,Country_Website
Italy,IT,ITA,60359546,2020-08-20,951,68,Country_Github
Latvia,LV,LVA,1919968,2020-08-20,2,,Country_Website
Luxembourg,LU,LUX,613894,2020-08-20,40,3,Country_Website
Netherlands,NL,NLD,17282163,2020-08-20,,47,Other Website
Norway,NO,NOR,5328212,2020-08-20,10,,Country_API
Poland,PL,POL,37972812,2020-08-20,2110,,Country_Website
Portugal,PT,PRT,10276617,2020-08-20,334,39,Country_Website
Romania,RO,ROU,19414458,2020-08-20,,489,Country_Website
Slovakia,SK,SVK,5450421,2020-08-20,59,,JRC
Slovenia,SI,SVN,2080908,2020-08-20,17,2,Country_Github
United Kingdom,UK,GBR,66647112,2020-08-20,866,,Country_Website
Austria,AT,AUT,8858775,2020-08-19,121,20,Country_Website
Belgium,BE,BEL,11455519,2020-08-19,334,83,Country_Website
Bulgaria,BG,BGR,7000039,2020-08-19,782,61,External_Github
Croatia,HR,HRV,4076246,2020-08-19,122,,Country_Website
Czechia,CZ,CZE,10649800,2020-08-19,110,25,Country_Website
Denmark,DK,DNK,5806081,2020-08-19,16,1,Country_Website
Estonia,EE,EST,1324820,2020-08-19,10,1,Country_API
Finland,FI,FIN,5517919,2020-08-19,8,0,External_Github
France,FR,FRA,67012883,2020-08-19,4781,362,Country_Website
Hungary,HU,HUN,9772756,2020-08-19,57,7,JRC
Iceland,IS,ISL,356991,2020-08-19,1,0,Country_Website
Ireland,IE,IRL,4904240,2020-08-19,17,6,Country_Website
Italy,IT,ITA,60359546,2020-08-19,932,66,Country_Github
Latvia,LV,LVA,1919968,2020-08-19,4,,Country_Website
Luxembourg,LU,LUX,613894,2020-08-19,34,3,Country_Website
Netherlands,NL,NLD,17282163,2020-08-19,,46,Other Website
Norway,NO,NOR,5328212,2020-08-19,11,,Country_API
Poland,PL,POL,37972812,2020-08-19,2097,,Country_Website
Portugal,PT,PRT,10276617,2020-08-19,329,35,Country_Website
Romania,RO,ROU,19414458,2020-08-19,,480,Country_Website
Slovakia,SK,SVK,5450421,2020-08-19,64,,JRC
Slovenia,SI,SVN,2080908,2020-08-19,17,3,Country_Github
United Kingdom,UK,GBR,66647112,2020-08-19,868,,Country_Website
Austria,AT,AUT,8858775,2020-08-18,116,19,Country_Website
Belgium,BE,BEL,11455519,2020-08-18,335,89,Country_Website
Bulgaria,BG,BGR,7000039,2020-08-18,768,56,External_Github
Croatia,HR,HRV,4076246,2020-08-18,120,,Country_Website
Czechia,CZ,CZE,10649800,2020-08-18,106,27,Country_Website
Denmark,DK,DNK,5806081,2020-08-18,18,1,Country_Website
Estonia,EE,EST,1324820,2020-08-18,7,1,Country_API
France,FR,FRA,67012883,2020-08-18,4783,357,Country_Website
Hungary,HU,HUN,9772756,2020-08-18,60,6,JRC
Iceland,IS,ISL,356991,2020-08-18,1,0,Country_Website
